exp_group,user_id,likes,views,ctr
Control,109963,3,15,0.2
Control,26117,32,141,0.226950354609929
Control,138232,18,73,0.2465753424657534
Control,26295,39,141,0.2765957446808511
Control,18392,7,32,0.21875
Test,131473,9,108,0.0833333333333333
Test,23985,7,87,0.0804597701149425
Test,24523,11,101,0.1089108910891089
Test,32420,13,44,0.2954545454545454
Test,24239,40,90,0.4444444444444444
Control,137520,5,38,0.131578947368421
Test,14680,29,91,0.3186813186813186
Control,498,8,28,0.2857142857142857
Control,125715,7,24,0.2916666666666667
Test,6911,2,38,0.0526315789473684
Test,119153,2,24,0.0833333333333333
Test,15092,3,31,0.0967741935483871
Control,27443,22,109,0.2018348623853211
Control,137130,27,71,0.380281690140845
Control,27223,37,158,0.2341772151898734
Test,134311,9,168,0.0535714285714285
Test,21245,7,76,0.0921052631578947
Control,26783,5,13,0.3846153846153846
Control,27131,12,89,0.1348314606741573
Control,124219,30,119,0.2521008403361344
Control,115796,6,57,0.1052631578947368
Test,122713,19,107,0.1775700934579439
Test,130614,12,36,0.3333333333333333
Test,13752,10,38,0.2631578947368421
Test,122429,8,67,0.1194029850746268
Control,123999,22,92,0.2391304347826087
Control,116554,14,64,0.21875
Test,6011,23,63,0.365079365079365
Test,118335,12,99,0.1212121212121212
Test,1283,10,19,0.5263157894736842
Control,128093,26,106,0.2452830188679245
Control,120114,21,95,0.2210526315789473
Control,128313,5,16,0.3125
Control,8152,5,26,0.1923076923076923
Test,118761,9,31,0.2903225806451613
Test,118619,8,65,0.123076923076923
Control,15877,12,53,0.2264150943396226
Control,120036,10,72,0.1388888888888889
Control,128395,29,139,0.2086330935251798
Test,10098,3,9,0.3333333333333333
Test,33675,2,24,0.0833333333333333
Control,120478,3,9,0.3333333333333333
Test,118049,31,65,0.4769230769230769
Control,15643,4,24,0.1666666666666666
Control,15785,16,72,0.2222222222222222
Test,32807,4,18,0.2222222222222222
Control,110953,17,66,0.2575757575757575
Control,23276,10,59,0.1694915254237288
Control,31537,22,70,0.3142857142857143
Control,111223,13,55,0.2363636363636363
Test,108922,4,57,0.0701754385964912
Control,132278,39,181,0.2154696132596685
Control,111301,16,82,0.1951219512195122
Test,108716,4,43,0.0930232558139534
Control,111379,0,14,0.0
Control,120836,1,27,0.037037037037037
Test,2531,5,15,0.3333333333333333
Control,4700,37,134,0.2761194029850746
Control,129039,45,131,0.3435114503816794
Test,2385,12,118,0.1016949152542373
Control,129653,29,176,0.1647727272727272
Test,122908,53,162,0.3271604938271605
Test,135571,26,69,0.3768115942028985
Test,135237,92,196,0.4693877551020408
Test,135415,9,97,0.0927835051546391
Control,133504,19,106,0.1792452830188679
Control,29821,11,47,0.2340425531914893
Test,135743,25,61,0.4098360655737705
Control,29903,11,59,0.1864406779661017
Test,28528,6,64,0.09375
Test,20347,3,49,0.0612244897959183
Control,114213,12,19,0.631578947368421
Control,129822,24,110,0.2181818181818181
Control,12788,5,30,0.1666666666666666
Test,2852,13,33,0.3939393939393939
Test,10289,2,42,0.0476190476190476
Test,115408,7,64,0.109375
Control,4997,1,12,0.0833333333333333
Test,28329,8,27,0.2962962962962963
Control,29974,19,53,0.3584905660377358
Control,114328,12,76,0.1578947368421052
Control,30116,1,14,0.0714285714285714
Test,135810,34,100,0.34
Control,114684,21,74,0.2837837837837837
Control,133959,12,34,0.3529411764705882
Test,28087,8,75,0.1066666666666666
Control,30216,11,74,0.1486486486486486
Test,135470,40,93,0.4301075268817204
Control,22019,14,80,0.175
Test,19900,13,32,0.40625
Control,133667,18,87,0.2068965517241379
Control,15782,29,81,0.3580246913580246
Test,32808,7,18,0.3888888888888889
Control,15636,20,88,0.2272727272727272
Test,10191,12,32,0.375
Test,33100,12,33,0.3636363636363636
Control,15882,7,31,0.2258064516129032
Control,128388,30,170,0.1764705882352941
Test,9653,10,106,0.0943396226415094
Test,9479,63,167,0.3772455089820359
Control,16056,2,24,0.0833333333333333
Control,16348,18,60,0.3
Test,126815,1,18,0.0555555555555555
Control,111388,5,32,0.15625
Test,16962,25,94,0.2659574468085106
Control,132573,12,56,0.2142857142857142
Control,30752,31,149,0.2080536912751678
Test,25503,4,35,0.1142857142857142
Control,111306,6,19,0.3157894736842105
Test,25339,6,13,0.4615384615384615
Test,17190,4,24,0.1666666666666666
Control,132107,3,28,0.1071428571428571
Test,25161,38,116,0.3275862068965517
Control,22681,8,52,0.1538461538461538
Test,139188,9,21,0.4285714285714285
Control,110768,25,111,0.2252252252252252
Test,109273,26,68,0.3823529411764705
Test,16440,3,24,0.125
Control,110950,13,69,0.1884057971014492
Control,111060,12,53,0.2264150943396226
Test,138264,7,41,0.1707317073170731
Test,135094,8,71,0.1126760563380281
Test,29013,26,164,0.1585365853658536
Control,124924,9,36,0.25
Control,11378,3,37,0.081081081081081
Test,14207,1,13,0.0769230769230769
Control,116549,8,64,0.125
Control,124458,12,54,0.2222222222222222
Test,130343,2,23,0.0869565217391304
Test,131055,53,199,0.2663316582914573
Test,32719,4,54,0.074074074074074
Control,137449,29,188,0.1542553191489361
Control,25876,27,143,0.1888111888111888
Control,110120,13,69,0.1884057971014492
Control,137307,15,78,0.1923076923076923
Test,24438,41,171,0.239766081871345
Test,131372,6,50,0.12
Test,131486,15,41,0.3658536585365853
Test,139505,16,47,0.3404255319148936
Test,131322,26,60,0.4333333333333333
Test,112265,12,34,0.3529411764705882
Test,23656,1,14,0.0714285714285714
Control,138053,5,17,0.2941176470588235
Control,117441,10,36,0.2777777777777778
Test,15263,21,68,0.3088235294117647
Control,125724,24,96,0.25
Test,14821,5,15,0.3333333333333333
Control,116923,13,42,0.3095238095238095
Control,125286,33,169,0.1952662721893491
Control,125396,27,140,0.1928571428571428
Control,124930,15,90,0.1666666666666666
Control,739,12,55,0.2181818181818181
Test,113913,5,76,0.0657894736842105
Control,135477,29,142,0.204225352112676
Test,114077,18,56,0.3214285714285714
Control,19651,17,53,0.320754716981132
